#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,unique,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:01Z,5.942,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:03Z,4.699,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:05Z,4.28,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:07Z,4.307,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:09Z,5.222,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:11Z,4.73,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:13Z,4.7,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:15Z,4.901,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:17Z,4.653,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:19Z,5.025,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:21Z,5.725,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:23Z,4.939,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:25Z,4.611,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:27Z,4.717,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:29Z,4.476,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:31Z,4.538,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:33Z,4.627,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:35Z,4.895,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:37Z,5.872,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:39Z,5.088,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:41Z,4.974,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:43Z,4.97,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:45Z,4.363,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:47Z,4.601,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:49Z,4.308,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:51Z,5.388,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:53Z,4.815,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:55Z,7.019,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:57Z,6.394,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:59Z,5.611,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:01Z,4.886,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:03Z,4.172,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:05Z,4.69,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:07Z,4.583,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:09Z,4.743,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:11Z,5.121,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:13Z,4.56,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:15Z,5.154,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:17Z,4.302,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:19Z,4.426,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:21Z,4.766,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:23Z,4.949,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:25Z,5.142,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:27Z,4.565,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:29Z,4.499,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:31Z,4.469,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:33Z,4.279,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:35Z,4.576,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:37Z,4.928,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:39Z,4.214,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:43Z,4.441,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:45Z,4.789,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:47Z,5.678,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:49Z,4.381,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:51Z,4.196,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:53Z,5.858,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:55Z,5.374,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:57Z,5.521,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:59Z,6.306,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:01Z,4.432,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:03Z,5.071,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:05Z,4.849,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:07Z,4.707,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:09Z,4.554,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:11Z,4.833,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:13Z,4.625,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:17Z,5.014,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:19Z,4.594,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:21Z,4.326,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:23Z,4.559,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:25Z,4.834,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:27Z,4.41,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:29Z,4.431,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:31Z,4.987,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:33Z,4.463,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:35Z,4.442,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:37Z,4.558,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:39Z,186.752,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:41Z,4.454,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:43Z,4.178,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:45Z,4.205,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:47Z,4.086,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:49Z,4.54,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:51Z,4.091,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:53Z,4.161,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:55Z,5.434,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:57Z,6.007,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:59Z,5.38,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:01Z,4.409,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:03Z,4.186,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:05Z,4.268,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:09Z,4.061,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:11Z,4.401,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:15Z,4.122,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:17Z,4.305,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:19Z,4.258,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:23Z,4.405,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:25Z,4.138,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:29Z,4.254,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:31Z,3.993,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:33Z,4.373,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:35Z,4.622,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:37Z,4.24,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:39Z,4.455,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:41Z,4.146,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:43Z,4.698,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:45Z,4.261,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:47Z,4.716,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:49Z,5.545,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:51Z,4.804,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:53Z,5.366,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:55Z,4.544,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:57Z,4.436,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:03:59Z,4.47,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:01Z,4.46,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:03Z,4.36,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:05Z,4.664,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:07Z,4.94,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:09Z,5.062,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:11Z,4.42,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:13Z,4.641,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:15Z,4.383,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:19Z,4.892,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:23Z,4.505,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:25Z,4.735,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:27Z,4.734,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:29Z,4.756,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:31Z,4.568,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:33Z,4.784,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:35Z,4.912,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:37Z,4.941,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:39Z,4.614,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:41Z,5.015,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:43Z,5.083,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:45Z,4.899,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:49Z,4.282,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:51Z,4.435,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:53Z,5.097,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:55Z,4.379,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:57Z,4.297,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:04:59Z,4.629,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:01Z,4.551,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:03Z,4.725,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:05Z,4.752,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:07Z,4.936,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:09Z,4.374,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:11Z,4.349,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:13Z,4.445,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:17Z,4.703,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:19Z,4.968,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:21Z,4.369,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:23Z,4.283,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:25Z,4.597,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:27Z,4.359,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:29Z,4.543,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:31Z,4.842,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:35Z,5.038,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:37Z,4.343,Ch002_accrest_g,AMU
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:05:39Z,4.516,Ch002_accrest_g,AMU
